n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
132,"Pl B. Homo Sapiens, Lineous. Cráne d'un Circasien, d'un Chinois, d'un Negre",Georges Cuvier,1829,Grabado,Grabado,papel,NI,NI,"Guérin-Méneville, F.-E. (Félix-Edouard), Georges Cuvier, Henri Donckier, William Schaus, y former owner DSI United States. Dept. of Agriculture Library. 1829. Iconographie du règne animal de G. Cuvier, ou, Représentation d’après nature de l’une des espèces les plus et souvent non encore figurées de chaque genre d’animaux : avec un texte descriptif mis au courant de la science : ouvrage pouvant servir d’atlas a tous les traites de zoologie. Paris ; London : Chez J.B. Baillière. http://archive.org/details/iconographiedur1182944gu."," La posición del hombre en esta clasificación es acorde con una jerarquía de los órganos que se debe a su importancia para sostener la vida. Los órganos fundamentales son los sistemas circulatorio y nervioso, que posibilitan las funciones más elementales: el movimiento, la sensación y, en los niveles superiores, la actividad mental y el pensamiento. A su vez, la complejidad y centralización del sistema nervioso es de mayor jerarquía que la simplicidad y la dispersión. En este sentido, el hombre aparece en la cima de la jerarquización como un mamífero bípedo. Se caracteriza por tener el cerebro más grande que el de los mamíferos cuadrúpedos. El hombre forma un género, y es de interés directo porque se constituye en punto de referencia para la comparación con los demás animales. Así, por esta razón se expone con más detalle. Se lo caracteriza mostrando lo que tienen de particulares sus sistemas orgánicos, las ventajas de sus particularidades y aquello que tiene de común con los otros mamíferos. También habla de cuáles son las principales razas y sus caracteres distintivos. De una explicación que parte desde los sistemas orgánicos relacionados con el intelecto hasta los relacionados con la sensación, hace una descripción del desarrollo individual, desde la infancia hasta la vejez, y luego del desarrollo social. Este desarrollo lo describe a partir de generalidades que se aplican a todo el “género”, pero también afirma que “Circunstancias más o menos favorables han frenado en cierto grado el estado social, o han hecho avanzar su desarrollo”. Así, los climas glaciares del norte y los impenetrables bosques (forets) de América no están habitados más que por salvajes cazadores o pescadores. Por su parte, los climas dulces de suelos naturalmente irrigados y ricos en vegetación son cunas naturales de la agricultura y de la civilización. Sin embargo, hay circunstancias intrínsecas que hacen detener el progreso de ciertas razas, incluso en medio de circunstancias favorables. Entre las razas distingue la blanca o caucásica, la amarilla o mongol, la negra o etiópica. Las imágenes que acompañan la iconografía del Reino animal son bastante reveladoras. El caucásico es representado con “Apollon Antique”, es decir un busto clásico, mientras que las otras razas son representadas de modo realista: es seguido del mongol y del etíope cada uno con sus características físicas. ",1819 - 1850,Europa central,Francia,NA,1B07-YjYF_NCUaPLtzHlpEBrrw2AbcS6F,cuvier,https://archive.org/details/iconographiedur1182944gu/page/n11/mode/2up,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos animales,libro,true,139.jpg
133,"Figs. 1, 2, 3, 4: forearm, hand, and elbow joint from sphinx baboon; Figs. 5, 6, 7: front leg, paw, and elbow joint from a cat; Fig. 8: bear paw; Fig. 9: seal foot; Fig. 10: dolphin flipper",Georges Cuvier,1805,Grabado,Grabado,papel,NI,NI,"Georges Cuvier, Leçons d’anatomie comparée, Paris: Crochard, 1805, 6 vols",,1819 - 1850,Europa central,Francia,NA,1At_TNuu394tkXT0vbC9zAiAiqXyY4Sij,cuvier,https://www.biodiversitylibrary.org/bibliography/114839,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,libro,true,140.jpg
134,Black- capped Capuchin monkey,Geoffroy Saint- Hilaire,1819,Grabado,Grabado,papel,NI,NI,"Geoffroy Saint- Hilaire, Histoire naturelle des mammifères, Paris: Firmin Didot, 1819.",,1819 - 1850,Europa central,Francia,NA,1AryC6afCg2F5FXlJKVpPuB_a4E_BaNLE,cuvier,https://www.cambridge.org/core/books/abs/animals-animality-and-literature/classify-and-display/A8099AF6D1EAB016F1D5CD7C8458214A,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos animales,libro,true,141.jpg
135,Pl. 1. Simia. Simia. Hylobates. Cercophitecus,"Guérin-Méneville, F.-E, Georges Cuvier",1829,Grabado,Grabado,papel,NI,NI,"Guérin-Méneville, F.-E. (Félix-Edouard), Georges Cuvier, Henri Donckier, William Schaus, y former owner DSI United States. Dept. of Agriculture Library. 1829. Iconographie du règne animal de G. Cuvier, ou, Représentation d’après nature de l’une des espèces les plus et souvent non encore figurées de chaque genre d’animaux : avec un texte descriptif mis au courant de la science : ouvrage pouvant servir d’atlas a tous les traites de zoologie. Paris ; London : Chez J.B. Baillière. http://archive.org/details/iconographiedur1182944gu."," La posición del hombre en esta clasificación es acorde con una jerarquía de los órganos que se debe a su importancia para sostener la vida. Los órganos fundamentales son los sistemas circulatorio y nervioso, que posibilitan las funciones más elementales: el movimiento, la sensación y, en los niveles superiores, la actividad mental y el pensamiento. A su vez, la complejidad y centralización del sistema nervioso es de mayor jerarquía que la simplicidad y la dispersión. En este sentido, el hombre aparece en la cima de la jerarquización como un mamífero bípedo. Se caracteriza por tener el cerebro más grande que el de los mamíferos cuadrúpedos. El hombre forma un género, y es de interés directo porque se constituye en punto de referencia para la comparación con los demás animales. Así, por esta razón se expone con más detalle. Se lo caracteriza mostrando lo que tienen de particulares sus sistemas orgánicos, las ventajas de sus particularidades y aquello que tiene de común con los otros mamíferos. También habla de cuáles son las principales razas y sus caracteres distintivos. De una explicación que parte desde los sistemas orgánicos relacionados con el intelecto hasta los relacionados con la sensación, hace una descripción del desarrollo individual, desde la infancia hasta la vejez, y luego del desarrollo social. Este desarrollo lo describe a partir de generalidades que se aplican a todo el “género”, pero también afirma que “Circunstancias más o menos favorables han frenado en cierto grado el estado social, o han hecho avanzar su desarrollo”. Así, los climas glaciares del norte y los impenetrables bosques (forets) de América no están habitados más que por salvajes cazadores o pescadores. Por su parte, los climas dulces de suelos naturalmente irrigados y ricos en vegetación son cunas naturales de la agricultura y de la civilización. Sin embargo, hay circunstancias intrínsecas que hacen detener el progreso de ciertas razas, incluso en medio de circunstancias favorables. Entre las razas distingue la blanca o caucásica, la amarilla o mongol, la negra o etiópica. Las imágenes que acompañan la iconografía del Reino animal son bastante reveladoras. El caucásico es representado con “Apollon Antique”, es decir un busto clásico, mientras que las otras razas son representadas de modo realista: es seguido del mongol y del etíope cada uno con sus características físicas. ",1819 - 1850,Europa central,Francia,NA,1Agb_1o8cSXrgE94KQR-vbYZxli621RmF,cuvier,https://archive.org/details/iconographiedur1182944gu/page/n15/mode/2up,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos animales,libro,true,142.jpg
136,Woman of the Bushman race.,Geoffroy Saint- Hilaire,1819,Grabado,Grabado,papel,NI,NI,"Geoffroy Saint- Hilaire, Histoire naturelle des mammifères, Paris: Firmin Didot, 1819.","Entre 1937 y 1974 se exhibió en el Musée de l'homme de París un molde de yeso del cuerpo de Sara Baartman, la mujer conocida como la Venus hotentote, acompañado de su esqueleto y su cerebro en un frasco de muestras. Al describir la exhibición, los historiadores Clifton Crais y Pamela Scully señalan que los artistas pintaron el elenco en tonos de piel y agregaron detalles como ""un trampantojo de cabello"" y senos con aureolas y pezones. “Los ojos de Sara Baartman están cerrados”, escriben los historiadores, “pero parece abatida. Sus labios están separados como si estuviera a punto de hablar.”3 Antes de llegar al Museé, la exhibición anatómica de Sara Baartman había edificado e instruido a los visitantes del Muséum de l'histoire naturelle desde el momento de la muerte de Baartman en marzo de 1815 hasta 1937. Millones de espectadores también vieron la exposición en la Exposición Universal de 1889. El esqueleto y el cerebro (más los genitales extirpados, conservados en alcohol en otro lugar del Museo) fueron el resultado de una disección post-mortem realizada por Georges Cuvier (1769– 1832), uno de los zoólogos más eruditos de su época. El colega de Cuvier, Geoffroy Saint-Hillaire, había escrito una carta a la policía de París, solicitando que el cuerpo de Sara Baartman fuera llevado al Museo, “para adquirir nueva información sobre esta singular raza de la especie humana.",1819 - 1850,Europa central,Francia,NA,1Ac3eHVsa9eBoj47AjhOANHpz1iU1uFBZ,cuvier,https://www.cambridge.org/core/books/abs/animals-animality-and-literature/classify-and-display/A8099AF6D1EAB016F1D5CD7C8458214A,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,libro,true,143.jpg
137,Cours d'anatomie comparée au Jardin des plantes,Gustave Doré,1954,Grabado,Grabado,papel,NI,NI,"“The Different Publics of Paris,” Le Journal pour rire , Paris, 1854.","En “Una lección de anatomía comparada en el Jardin des plantes”, Gustave Doré satiriza la arrogancia antropológica y la ceguera de Cuvier y su público. En esta ilustración para ""Los diferentes públicos de París"" (1854), un profesor de anatomía comparada empuja un cráneo humano hacia su audiencia en una sala de conferencias abarrotada. Los estudiantes humanos y su profesor apenas parecen superiores al cocodrilo y otros animales suspendidos sobre ellos, que lanzan una mirada fraternal e irónica hacia el espectador de esta imagen.",1819 - 1850,Europa central,Francia,NA,1AYs-bL3Bx9TsBPPXQ0mtdGwlwW6R09PX,cuvier,https://gallica.bnf.fr/ark:/12148/btv1b10320675h,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,caricatura,libro,true,144.jpg
138,Planche 14. Races Humanes. Races Americaines. Indiens du Bassin de l'Orinoque,"Georges Cuvier, François Desiré Roulin(Dibj.)",1836,Grabado,Grabado,papel,NI,NI,"Cuvier, Georges, Jean Victor Audouin, Emile Blanchard, G. P. Deshayes, Georges Milne-Edwards Douvernoy, L. Doyère, L. Doyère, et al. 1836. Le règne animal distribué d’après son organisation, pour servir de base à l’histoire naturelle des animaux et d’introduction à l’anatomie comparée. Paris: Fortin, Masson et cie. https://doi.org/10.5962/bhl.title.39612. Planche 14.","En el Raino animal de Cuvier, acerca de la raza de los americanos, se dice lo siguiente: ""Los propios americanos no han sido aun claramente relacionados con ninguna de nuestras razas del viejo continente, y sin embargo tampoco tienen un carácter a la vez preciso y constante que pueda hacer de ella una raza particular. Su tez rojo cobre no es suficiente; sus cabellos generalmente negros y su barba rala los harían referirse a los mongoles, sus rasgos aleteados tan pronunciados, su nariz tan saliente como la nuestra, sus ojos grandes y abiertos, no los oponían y correspondían a nuestras formas europeas; sus idiomas son tan innumerables como sus tribus, y aún no hemos podido captar ninguna analogía demostrativa ni entre ellos ni con los del Viejo Mundo"". (103-104). Para fundamentar esta afirmación cita como referencia los viajes de Humboldt. Así mismo, invoca una serie de planchas que se encuentran en el Atlas de los mamíferos de la edición de los discípulos del Reino Animal en las que se ilustran algunas de las variedades de esta raza indeterminada que aún no se ha podido caracterizar de manera suficiente. Entre estas, la plancha catorce se refiere a los “indios de la cuenca del Orinoco”, entre los cuales se encuentran cuatro retratos: uno de un joven de la nación ACHAGUA, nación que habita a orillas del río Ele y otros afluentes del Casanare; otro de un joven de la nación SALIVA; orillas del río Sinaruco; otro de un anciano de la nación COREGUAGE; riberas del Guayavero afluente del Guaviare; y, finalmente, uno de una joven de la nación AMARIZANA a orillas del Guaviare. En la parte inferior, hay una referencia que dice que las imágenes fueron elaboradas a partir del natural por M. Roulin. ",1819 - 1850,Europa central,Francia,NA,1AT20zZGoBh3DNmu5eEypjLK1ga_UUEKP,cuvier,https://www.biodiversitylibrary.org/item/135445#page/55/mode/1up,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,libro,true,145.jpg
139,Planche 14. Races Humanes. Races Americaines. Indiens du Bassin de l'Orinoque,"Georges Cuvier, François Desiré Roulin(Dibj.)",1836,Grabado,Grabado,papel,NI,NI,"Cuvier, Georges, Jean Victor Audouin, Emile Blanchard, G. P. Deshayes, Georges Milne-Edwards Douvernoy, L. Doyère, L. Doyère, et al. 1836. Le règne animal distribué d’après son organisation, pour servir de base à l’histoire naturelle des animaux et d’introduction à l’anatomie comparée. Paris: Fortin, Masson et cie. https://doi.org/10.5962/bhl.title.39612. Planche 14.","En el Raino animal de Cuvier, acerca de la raza de los americanos, se dice lo siguiente: ""Los propios americanos no han sido aun claramente relacionados con ninguna de nuestras razas del viejo continente, y sin embargo tampoco tienen un carácter a la vez preciso y constante que pueda hacer de ella una raza particular. Su tez rojo cobre no es suficiente; sus cabellos generalmente negros y su barba rala los harían referirse a los mongoles, sus rasgos aleteados tan pronunciados, su nariz tan saliente como la nuestra, sus ojos grandes y abiertos, no los oponían y correspondían a nuestras formas europeas; sus idiomas son tan innumerables como sus tribus, y aún no hemos podido captar ninguna analogía demostrativa ni entre ellos ni con los del Viejo Mundo"". (103-104). Para fundamentar esta afirmación cita como referencia los viajes de Humboldt. Así mismo, invoca una serie de planchas que se encuentran en el Atlas de los mamíferos de la edición de los discípulos del Reino Animal en las que se ilustran algunas de las variedades de esta raza indeterminada que aún no se ha podido caracterizar de manera suficiente. Entre estas, la plancha catorce se refiere a los “indios de la cuenca del Orinoco”, entre los cuales se encuentran cuatro retratos: uno de un joven de la nación ACHAGUA, nación que habita a orillas del río Ele y otros afluentes del Casanare; otro de un joven de la nación SALIVA; orillas del río Sinaruco; otro de un anciano de la nación COREGUAGE; riberas del Guayavero afluente del Guaviare; y, finalmente, uno de una joven de la nación AMARIZANA a orillas del Guaviare. En la parte inferior, hay una referencia que dice que las imágenes fueron elaboradas a partir del natural por M. Roulin. ",1819 - 1850,Europa central,Francia,NA,1AMLN3TCysZchaxoqsER4meBQXBKZH0-w,cuvier,https://www.biodiversitylibrary.org/item/135445#page/54/mode/1up,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,libro,true,146.jpg
140,Navegation sur la Magdalena (Navegación en el Magdalena),François Desiré Roulin,1823,Pintura,Acuarela,papel,18,27.3,"Colección de Arte del Banco de la República, reg: AP2120",,1819 - 1850,Río Magdalena,Colombia,NA,1ACcv5qI35vDsiYbkPyHBUrLpM76aWrbq,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,147.jpg
141,Champan sur la Magdalena (Champán en el Magdalena),François Desiré Roulin,1823,Pintura,Acuarela,papel,13.2,20.2,"Colección de Arte del Banco de la República, reg: AP3676",,1819 - 1850,Río Magdalena,Colombia,NA,1ABA75-TiUjG-Pf-nF6r47hRwxtMzar3M,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,148.jpg
142,Bords de la Magdelaine (Orillas del Magdalena),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4076",,1819 - 1850,Río Magdalena,Colombia,NA,1A9-Cla-I843Yw7iBw99lyFzsGCttc8F0,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,149.jpg
143,Bords de la Magdelaine. Le bal du petit ange (Orillas del Magdalena. El baile del angelito),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4077",,1819 - 1850,Río Magdalena,Colombia,NA,1A8Ogw4CKeRGnGZ9Ot_fHBCj225R4MXi6,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,150.jpg
144,Bords de la Magdelaine. Marché à Mompox (Orillas del Magdalena. Mercado en Mompox),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4078",,1819 - 1850,Río Magdalena,Colombia,NA,1CE3JM_tWMWA_Ton6mr_CwgfXrOYrV0P6,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,151.jpg
145,(Orillas del Magdalena. Balsa : canoa llamada champán),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4079",,1819 - 1850,Río Magdalena,Colombia,NA,1CDHYAYmRUrtGWxK3RhyXXKOSzA5Uo9v0,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,152.jpg
146,Bords de la Magdelaine. Ménage d'une famille de pêcheur (Orillas del Magdalena. Hogar de una familia de pescadores),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4080","Por su parte, las acuarelas de Roulin encontradas en 2003 también se pueden interpretar en relación con una memoria presentada por el mismo autor a los Anales de Ciencias Naturales en 1829 acerca de los animales domésticos traídos de Europa al Nuevo Mundo. La acuarela Bords de la Magdelaine. Ménage d'une famille de pêcheur de 1823 parece ser una ilustración de ese texto en el que se menciona que las viviendas de pescadores en las orillas del Magdalena albergan “perros de tierra caliente”, cuya raza se ha deteriorado por falta de alimento y condiciones excepcionales que obligan a los animales a volver a estados salvajes. En las láminas de Roulin, como Bords de la Magdelaine, Place de St. Victorin à Bogotá o Entrée du marché de Honda, se pueden ver perros conviviendo junto a humanos en diferentes climas y regiones. Esto permite ver cómo los perros han cambiado y se han adaptado a diferentes entornos y situaciones, y cómo han afectado a, y se han visto afectados por, las comunidades en las que viven. En definitiva, las acuarelas de Roulin, en conjunto con su memoria escrita, ofrecen una visión valiosa sobre los cambios en los animales domésticos y su relación con los climas y las comunidades en el Nuevo Mundo.",1819 - 1850,Río Magdalena,Colombia,NA,1C86it-6eDkuBBHIQNa18keCc_Z7TgeMm,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,153.jpg
147,Bords de la Magdelaine. Préparation du dîner (Orillas del Magdalena. Preparación de la cena),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4081",,1819 - 1850,Río Magdalena,Colombia,NA,1C74pqrSiPIKIncywH1EKftg9Wj6V4IFD,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,154.jpg
148,Le dîner à Ste. Marthe (La cena en Santa Marta),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4082",,1819 - 1850,Río Magdalena,Colombia,NA,1Bu712SJdTvv4pTvg7fGVT_MmzP3CLOIK,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,155.jpg
149,Entrée du marché de Honda (Entrada del mercado de Honda),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4083",,1819 - 1850,Río Magdalena,Colombia,NA,1BtDvu3xphrkXFg_bZUFU5Zcqrpwng4rB,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,156.jpg
150,"La montagne du Sergent, entre la ville de Honda et Guaduás (La montaña del Sargento, entre la ciudad de Honda y Guaduas)",François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4084",,1819 - 1850,Montañas andinas,Colombia,NA,1Br7Bnp4iQIzTphLU2s0sPkICohoV04gw,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,157.jpg
151,"Le Vagre, poisson de la Magdelaine. Selles, ustensiles (El bagre, pescado del Magdalena. Sillas, utensilios)",François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4085",,1819 - 1850,Río Magdalena,Colombia,NA,1BnPgtSjzbq4OF9jbeC_-YQeW10j2OQvG,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,158.jpg
152,La joueuse de harpe (La intérprete de harpa),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4086",,1819 - 1850,Llanos orientales,Colombia,NA,1BhoJ-lwHwvWSmZXW-cdIiDn7meCLJOQg,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,159.jpg
153,Place Major de Bogotá. Douane (Plaza Mayor de Bogotá. Aduana),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4087",,1819 - 1850,Montañas andinas,Colombia,NA,1BfjnS5iqSVVDFrSwbyAdvA_DScr-Onhx,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,160.jpg
154,"Place de St. Victorin, à Bogotá (Plaza de San Victorino, en Bogotá)",François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4088",,1819 - 1850,Montañas andinas,Colombia,NA,1BZcZ-YcqdIwI1nK5f-NXca-9qAAlH__B,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,161.jpg
155,Porte de la Guayra (Puerto de la Guaira),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4089",,1819 - 1850,Caribe,Colombia,NA,1BVi1sMIqOTpRMRBc7GMBmfkFWxzx4rEm,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,162.jpg
156,Danse du pays (Baile típico),François Desiré Roulin,1823,Pintura,Acuarela,papel,20.3,26.7,"Colección de Arte del Banco de la República, reg: AP4090",,1819 - 1850,Llanos orientales,Colombia,NA,1BNyeUns7-fwhO-3ij_MlWXJccALMK3nk,roulin,https://www.banrepcultural.org/coleccion-de-arte/artista/fran%C3%A7ois-d%C3%A9sir%C3%A9-roulin,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,163.jpg
157,Dibujo en cuaderno. Enlazando toros,François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Llanos orientales,Colombia,NA,1BJs21aQCunMmIBGBVvNWrbiTRkHYJvM9,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707486,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,manuscrito,true,164.jpg
158,"Dibujo en cuaderno, toro",François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Llanos orientales,Colombia,NA,1BITml_VnBAEQQw-cdvodTqU-PDVD3Dw7,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707487,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos animales,manuscrito,true,165.jpg
159,"Dibujo en cuaderno, perro",François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Llanos orientales,Colombia,NA,1CzCte2F-s9StPBWqpzOyQ0Gzj49TS0bF,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707488,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos animales,manuscrito,true,166.jpg
160,"Dibujo en cuaderno, cargueros en mina",François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Llanos orientales,Colombia,NA,1CuRJW0aHiLoQvmD-P6-tTNGRE8GqCtAn,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707489,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,manuscrito,true,167.jpg
161,"Dibujo en cuaderno, murciélago",François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Llanos orientales,Colombia,NA,1CnwuCjOCRNVmhmqReoHerEvy58sdNM4W,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707490,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,manuscrito,true,168.jpg
162,"Dibujo en cuaderno, escena familiar",François Desiré Roulin,1823,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)",,1819 - 1850,Montañas andinas,Colombia,NA,1CnqcdxlX-GKoYz2cz0sb27HxaiTifskg,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707491,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,manuscrito,true,169.jpg
163,Una escena de Carnaval en Bogotá,François Desiré Roulin,1823,Pintura,Acuarela,papel,20,27,"Christie's, London, Topographical pictures, 6 June 1996, lot 5",,1819 - 1850,Montañas andinas,Colombia,NA,1CiPtgs7LZLXdNV2TjIfq8aOa3NujWRNJ,roulin,https://wellcomecollection.org/works/vkbkvn5f,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,170.jpg
164,Uniformes para la Escuela de Minería,François Desiré Roulin,1823,Pintura,Acuarela,papel,20,24,"AGN, CO.AGN.SMP.4,REF.497A",,1819 - 1850,Montañas andinas,Colombia,NA,1CdjngnzHUd5sKJ48Q-6KKmejKLdfeC_u,roulin,http://consulta.archivogeneral.gov.co/ConsultaWeb/imagenes.jsp?id=3254655&idNodoImagen=3254656&total=1&ini=1&fin=1,Francia,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,lamina,true,171.jpg
